Tempo (h);Z(m);Theta;(-dtheta/dt);(-dtheta/dt)*dZ;q
24.0;1.05;0.26168570855328444;0.0008629132142210522;0.00012943698213315784;0.0009347201583529078
36.0;0.15;0.24493755696464242;0.00036925919064693545;5.5388878597040315e-05;5.5388878597040315e-05
36.0;0.3;0.30472528316962494;0.0004342145360043205;6.513218040064807e-05;0.00012052105899768839
36.0;0.45;0.2789630493058292;0.000626970468292979;9.404557024394684e-05;0.00021456662924163522
36.0;0.6;0.2850540928436301;0.0007241868488729368;0.00010862802733094052;0.0003231946565725757
36.0;0.75;0.25554323148596875;0.0007914608234086107;0.00011871912351129161;0.00044191378008386734
36.0;0.9;0.2567918411860254;0.0006329444715286621;9.494167072929932e-05;0.0005368554508131667
36.0;1.05;0.25328855976067394;0.0005752754761473682;8.629132142210522e-05;0.0006231467722352719
48.0;0.15;0.241113303992104;0.0002769443929852016;4.154165894778024e-05;4.154165894778024e-05
48.0;0.3;0.30022831661579413;0.00032566090200324035;4.884913530048605e-05;9.039079424826628e-05
48.0;0.45;0.27246979541318406;0.0004702278512197342;7.053417768296013e-05;0.00016092497193122643
48.0;0.6;0.27755401219669085;0.0005431401366547026;8.14710204982054e-05;0.00024239599242943183
48.0;0.75;0.24734642424803577;0.000593595617556458;8.90393426334687e-05;0.00033143533506290053
48.0;0.9;0.2502367172026399;0.0004747083536464966;7.120625304697448e-05;0.000402641588109875
48.0;1.05;0.2473306878771586;0.0004314566071105261;6.471849106657892e-05;0.0004673600791764539
72.0;0.15;0.23572332215650266;0.00018462959532346772;2.7694439298520157e-05;2.7694439298520157e-05
72.0;0.3;0.2938901982396015;0.00021710726800216025;3.2566090200324037e-05;6.0260529498844194e-05
72.0;0.45;0.2633180680597306;0.0003134852341464895;4.702278512197342e-05;0.00010728331462081761
72.0;0.6;0.26698324223381487;0.0003620934244364684;5.431401366547026e-05;0.00016159732828628786
72.0;0.75;0.2357936733082728;0.00039573041170430537;5.9359561755645804e-05;0.00022095689004193367
72.0;0.9;0.2409977888539459;0.00031647223576433106;4.747083536464966e-05;0.00026842772540658334
72.0;1.05;0.23893353908454812;0.0002876377380736841;4.314566071105261e-05;0.00031157338611763596
120.0;0.15;0.22893274812633502;0.00011077775719408064;1.6616663579112094e-05;1.6616663579112094e-05
120.0;0.3;0.2859051134363055;0.00013026436080129615;1.9539654120194422e-05;3.6156317699306516e-05
120.0;0.45;0.2517882551599805;0.00018809114048789368;2.821367107318405e-05;6.436998877249057e-05
120.0;0.6;0.2536656470770636;0.00021725605466188107;3.2588408199282156e-05;9.695839697177272e-05
120.0;0.75;0.2212389284313271;0.00023743824702258324;3.5615737053387484e-05;0.00013257413402516021
120.0;0.9;0.22935811569274278;0.00018988334145859863;2.8482501218789793e-05;0.00016105663524395
120.0;1.05;0.2283543827426989;0.00017258264284421044;2.5887396426631564e-05;0.00018694403167058155
240.0;0.15;0.21971851331819528;5.538887859704032e-05;8.308331789556047e-06;8.308331789556047e-06
240.0;0.3;0.27507002850628204;6.513218040064807e-05;9.769827060097211e-06;1.8078158849653258e-05
240.0;0.45;0.2361432739138819;9.404557024394684e-05;1.4106835536592026e-05;3.2184994386245284e-05
240.0;0.6;0.23559479646724843;0.00010862802733094053;1.6294204099641078e-05;4.847919848588636e-05
240.0;0.75;0.20148937025363114;0.00011871912351129162;1.7807868526693742e-05;6.628706701258011e-05
240.0;0.9;0.2135640633606633;9.494167072929932e-05;1.4241250609394896e-05;8.0528317621975e-05
240.0;1.05;0.21399936206657308;8.629132142210522e-05;1.2943698213315782e-05;9.347201583529078e-05
360.0;0.15;0.21432853148259395;3.692591906469355e-05;5.538887859704032e-06;5.538887859704032e-06
360.0;0.3;0.26873191013008946;4.3421453600432046e-05;6.5132180400648065e-06;1.2052105899768839e-05
360.0;0.45;0.22699154656042847;6.26970468292979e-05;9.404557024394685e-06;2.1456662924163524e-05
360.0;0.6;0.22502402650437248;7.241868488729368e-05;1.0862802733094052e-05;3.231946565725757e-05
360.0;0.75;0.18993661931386815;7.914608234086108e-05;1.1871912351129162e-05;4.4191378008386736e-05
360.0;0.9;0.20432513501196928;6.329444715286621e-05;9.494167072929933e-06;5.368554508131667e-05
360.0;1.05;0.2056022132739626;5.7527547614736814e-05;8.629132142210522e-06;6.231467722352719e-05
480.0;0.15;0.21050427851005554;2.769443929852016e-05;4.154165894778024e-06;4.154165894778024e-06
480.0;0.3;0.26423494357625865;3.2566090200324037e-05;4.8849135300486055e-06;9.039079424826629e-06
480.0;0.45;0.2204982926677833;4.702278512197342e-05;7.053417768296013e-06;1.6092497193122642e-05
480.0;0.6;0.2175239458574332;5.431401366547027e-05;8.147102049820539e-06;2.423959924294318e-05
480.0;0.75;0.1817398120759352;5.935956175564581e-05;8.903934263346871e-06;3.3143533506290053e-05
480.0;0.9;0.1977700110285838;4.747083536464966e-05;7.120625304697448e-06;4.02641588109875e-05
480.0;1.05;0.19964434139044726;4.314566071105261e-05;6.471849106657891e-06;4.673600791764539e-05
