Z(m);Tempo(h);q;dphidz;K;Theta;h;Ln K
0.6;72.0;0.0001615973282862;-1.3800000022995047;0.00011709951305574573;0.2669832422338148;0.6402965783694355;-9.052486445731796
0.6;120.0;9.695839697177272e-05;-1.3319999975388475;7.279158945264559e-05;0.2536656470770636;0.7745991614259189;-9.527910138932306
0.6;240.0;4.847919848588636e-05;-1.1159999973676928;4.3440142114905155e-05;0.2355947964672484;0.7716312531965346;-10.044126610822188
0.6;360.0;3.231946565725757e-05;-0.8820000066601487;3.6643384822230364e-05;0.2250240265043724;0.7678877469330542;-10.214277641905774
0.6;480.0;2.423959924294318e-05;-0.9929999984594319;2.4410472588669863e-05;0.2175239458574332;0.827960391258163;-10.62049831329332
0.75;1.5;0.0106059307220128;-1.1279999990671823;0.00940242086062371;0.3460942151365154;0.8695611774459276;-4.666788084499267
0.75;3.0;0.0053029653610064;-1.2180000019445059;0.00435383033870308;0.3263446569588195;0.7559992867193799;-5.43669928369449
0.75;6.0;0.0026514826805032;-1.1970000011144677;0.0022151066650246743;0.3065950987811235;0.7181149181659602;-6.1124547208771425
0.75;12.0;0.0013257413402516;-1.310999999656535;0.0010112443482829345;0.2868455406034276;0.8976180414339961;-6.896573678449776
0.75;24.0;0.0006628706701258;-1.338000000190918;0.0004954190358977694;0.2670959824257317;0.8885680801536374;-7.610106616338872
0.75;36.0;0.0004419137800838;-1.3920000010511522;0.0003174667957974814;0.2555432314859687;0.8785343275349283;-8.055137325265827
0.75;48.0;0.0003314353350629;-1.4789999980439608;0.00022409420926385197;0.2473464242480357;0.9275082832357213;-8.403444017456213
0.75;72.0;0.0002209568900419;-1.3800000022995047;0.00016011368816936075;0.2357936733082728;0.9687250788605929;-8.739626443993828
0.75;120.0;0.0001325741340251;-1.3319999975388475;9.953013083337749e-05;0.2212389284313271;0.8605269773272335;-9.215050137195185
0.75;240.0;6.628706701258011e-05;-1.1159999973676928;5.939701359223234e-05;0.2014893702536311;0.8295749769355263;-9.731266609084612
0.75;360.0;4.4191378008386736e-05;-0.8820000066601487;5.0103602805770176e-05;0.1899366193138681;1.0885413373759796;-9.901417640168198
0.75;480.0;3.3143533506290053e-05;-0.9929999984594319;3.337717377412876e-05;0.1817398120759352;1.0706474983019356;-10.307638311555744
0.9;1.5;0.012884530819516;-1.1279999990671823;0.011422456409726126;0.3292069788630373;1.0545015877124972;-4.472174000710437
0.9;3.0;0.006442265409758;-1.2180000019445059;0.005289216255725032;0.3134129265309578;1.0778040912448006;-5.24208519990566
0.9;6.0;0.003221132704879;-1.1970000011144677;0.0026910047634753236;0.2976188741988783;1.1172715022219706;-5.917840637088313
0.9;12.0;0.0016105663524395;-1.310999999656535;0.0012285021760956884;0.2818248218667988;1.0223894013991774;-6.701959594660948
0.9;24.0;0.0008052831762197;-1.338000000190918;0.0006018558864759304;0.2660307695347194;1.010085429269509;-7.415492532550105
0.9;36.0;0.0005368554508131;-1.3920000010511522;0.00038567201897104884;0.2567918411860254;1.4387617183263093;-7.8605232414769715
0.9;48.0;0.0004026415881098;-1.4789999980439608;0.00027223907278046673;0.2502367172026399;1.4087325253295624;-8.20882993366757
0.9;72.0;0.0002684277254065;-1.3800000022995047;0.00019451284417334552;0.2409977888539459;1.398917387453499;-8.545012360205158
0.9;120.0;0.0001610566352439;-1.3319999975388475;0.00012091339004616087;0.2293581156927427;1.3463386786390052;-9.020436053406213
0.9;240.0;8.0528317621975e-05;-1.1159999973676928;7.215799087089336e-05;0.2135640633606633;1.378501048233092;-9.536652525295784
0.9;360.0;5.368554508131667e-05;-0.8820000066601487;6.086796448517798e-05;0.2043251350119692;1.1301974651501319;-9.70680355637937
0.9;480.0;4.02641588109875e-05;-0.9929999984594319;4.054799483731566e-05;0.1977700110285838;1.1348603551879484;-10.113024227766916
1.05;1.5;0.0149555225336465;-1.1279999990671823;0.013258441973416853;0.3191057912577877;1.7142478625509148;-4.323120799361902
1.05;3.0;0.0074777612668232;-1.2180000019445059;0.006139377056555949;0.3047507705816619;1.6799378286688473;-5.093031998557133
1.05;6.0;0.0037388806334116;-1.1970000011144677;0.0031235427150630847;0.290395749905536;1.697362096775312;-5.768787435739785
1.05;12.0;0.0018694403167058;-1.310999999656535;0.00142596515423003;0.2760407292294102;1.5553012203457883;-6.552906393312419
1.05;24.0;0.0009347201583529;-1.338000000190918;0.0006985950360385094;0.2616857085532844;1.5777092486185185;-7.266439331201514
1.05;36.0;0.0006231467722352;-1.3920000010511522;0.0004476629107504585;0.2532885597606739;1.2137148747621909;-7.711470040128426
1.05;48.0;0.0004673600791764;-1.4789999980439608;0.0003159973494215708;0.2473306878771586;1.2336770468123879;-8.059776732318962
1.05;72.0;0.0003115733861176;-1.3800000022995047;0.00022577781565103107;0.2389335390845481;1.95413765333524;-8.395959158856426
1.05;120.0;0.0001869440316705;-1.3319999975388475;0.00014034837238432337;0.2283543827426989;1.920640526599687;-8.871382852057803
1.05;240.0;9.347201583529078e-05;-1.1159999973676928;8.375628678831814e-05;0.213999362066573;1.98289569794628;-9.387599323947247
1.05;360.0;6.231467722352719e-05;-0.8820000066601487;7.06515609444187e-05;0.2056022132739626;1.7377126931808613;-9.557750355030834
1.05;480.0;4.673600791764539e-05;-0.9929999984594319;4.706546625393046e-05;0.1996443413904472;1.7485836399599788;-9.96397102641838
